title;username;description;the_category
pixelverse;pixelversexyzbot;"Pixelverse is a cyberpunk-themed gaming ecosystem that integrates third-party developers, intellectual properties (IP), and its own projects. \n\n
Pixelverse features a cyberpunk-themed game available on both Telegram and web browsers. \n\n
The platform boasts 60M players and over 14M social media followers, with one of the top 10 biggest channel on Telegram. \n\n";game
cat id paws;catidpawsbot;Catid Paws is a fun and enggaging web app where you swipe the screen to earn coins. Build and upgrade your virtual cat paradise, develop strategies to boost your passive income and compete with friends to climb the ranks. Enjoy exciting updates and bonuses as you purr your way to the top. \n\n;game
orbitonX;orbitonx_bot;OrbitonX is a prediction game where players collect tokens from the Quest Portfolio by tapping on the right coins from the list. Earn rewards in $RCT tokens and move to the Staking phase to choose a crypto exchange and stake your coins for a few hours to gain even more $RCT. Collect your income and repeat the game!  \n\n;game
musk empire;muskempire_bot;Musk Empire is a clicker game with countless opportunities to earn coins, where your main goal is to build your own business empire. Complete tasks, invite friends, compete with players, and prepare for a huge token airdrop on TON Blockchain. \n\n;game
iceberg;IcebergAppBot;Iceberg is a decentralized workspace designed to simplify processes, enhance collaboration, and boost productivity. This Mini App lets you plan your tasks, record important information, and keep track of your data, all with the power of web3 for enhanced security and transparency.  \n\n;WEB3 tools
tapswap;tapswap_bot;TapSwap is not just a clicker game, but a growing web3 financial platform where users can earn tokens by utilizing the app''s various mining activities. Using familiar clicker mechanics, this bot also offers its own features and presents a TapSwap Token, which distribution will occur among players in near future. \n\n;game
teledate;tldtbot;Teledate is a dating bot, designed for those seeking love, companionship, or meaningful connections without the hassle of traditional dating apps. Whether you''re looking to enjoy a casual date or have serious intentions to start a family, Teledate facilitates it all directly through your messenger. \n\n;social
to notion;to_notion_bot;To Notion Bot is a tool that integrates Telegram with your Notion workspaces. This bot is designed to enhance both individual productivity and team collaboration by allowing users to instantly send any Telegram content directly to Notion. \n\n;tools
cubes?;cubesonthewater_bot;Cubes? is a mysterious clicker game, closely connected with the TON Punks project, but with its unique features and gameplay. Delve into the mining of cubes on a mysterious planet, earn Drops, and claim $PUNK tokens, all while immersed in a relaxing, meditative atmosphere. \n\n;game
payvote;PayVote_bot;PayVote is a Telegram bot that enhances community engagement by offering a unique way to create votings, gather settings, and even earn Toncoin in the process. \n\n;tools
sub&invite;subinvitebot;Sub&Invite is a mini-app designed to facilitate engaging competitions. Participants can join the contest by subscribing to specified channels and inviting friends, with rewards for the most active users. \n\n;tools
dotcoin;dotcoin_bot;Dotcoin is a simple game where you get points by clicking on a DOT. Players can join clans, complete tasks, invite friends and increase levels — all to get as much Dotcoins as possible. \n\n;game
BILFT;bilft_bot;BILFT is a unique mini-app that equips every Telegram profile, channel, and chat with its personal billboard. Now, every Telegram user can enjoy their own public space where anonymous messages can be posted. \n\n;tools
ton dating;tondating;TON Dating is a mini-app currently in development, designed to revolutionize the way friends and partners can find each other on Telegram. With TON blockchain integration, this membership-based dating community focuses on fostering high-quality connections. \n\n;social
sellz;sellzbot;Sellz, a solution for creating an online marketplace within the messenger, has unveiled updates to improve your selling experience.   \n\n;tools
squidtg;squidtg_bot;SquidTG is a pioneering inscription game that offers a unique idle experience right within Telegram. In this immersive underwater universe, players engage in strategic gameplay involving the hatching of squids, spawning of eggs, and trading in a bustling marketplace. \n\n;game
brobot contest;brocontestsbot;Discover BroBot Contests, your gateway to engaging with top projects on The Open Network and winning exciting prizes. This app makes it easy to participate in various activities and raffles hosted on TON blockchain, ensuring you never miss out on rewarding opportunities. \n\n;WEB3 tools
tons of friends;toftechbot;TonsOfFriends is an app, transforming how users connect with groups and how community owners broaden their influence. Simply add this bot to your group, assign it admin privileges, and link your community to a world of possibilities. \n\n;social
kingy gm ton;kingygmbot;KINGY GM TON is a new application from the KINGYTON project that turns daily token mining into an entertaining, gamified experience. Accessible directly within Telegram, this mini-app lets you mine $KINGY tokens easily every day. \n\n;game
shardify;hardify_bot;Shardify, now in beta on The Open Network, but already available via mini-app, offers a unique NFT fragmentation platform that allows you to convert NFTs into tradable tokens. This innovative service simplifies the exchange process, enhancing liquidity and making NFT ownership more flexible. \n\n;WEB3 tools
the open league;open_league_bot;The Open League Pools, a convenient mini-app offering effortless ways to join boosts and farming campaigns through liquidity provision, now introduces an exciting new utility: the ability to win a share of a 50k TON prize pool by making accurate predictions in The Open League! \n\n;tools
anonions;anonionbot;Anonion is an innovative mini-app, allowing seamless engagement with your audience through anonymous messages. Upon obtaining your personal link within the app, sharing it across various platforms enables you to receive anonymous feedback and answers to any questions you pose to your followers. \n\n;social
fintrackbot;personalfintrackerbot;FinTrackBot is a go-to financial assistant, designed to simplify expense and income tracking. It automates the creation of a Google Spreadsheet for all your transactions, recognizing numbers, symbols, and automatically converting currencies when set. Access your financial overview by linking your email to the bot. \n\n;tools
brifer;meeting_summarizer_bot;Need to review meeting recordings or take notes? Brifer can transcribe and summarize up to 15 hours of audio, video and YouTube content. Just upload your file or share a link, and receive summary of pure facts with timestamps. \n\n;tools
such;such;Welcome to the New Year with SUCH, the ultimate feedback and support bot builder tailored for the vibrant community of Telegram creators! Whether you''re a channel admin, bot developer, business owner, or community manager, SUCH offers a streamlined way to enhance interaction within your network. \n\n;social
xAurum BTC;xaurumbot;xAurum bot is a free service that simplifies Bitcoin investment using a dollar cost averaging strategy. Automatically invest $10 daily into BTC and build your holdings over time without the need to understand the intricacies of market orders or worry about market volatility.\n\n;WEB3 tools
catparadise;catparadisebot;CatParadise serves as a gateway to the P2E game world within Telegram''s web app ecosystem, inviting users to a playful and lucrative gaming experience. Engage in a selection of cat-themed games, each promising fun, competitive play, and the opportunity to earn rewards. \n\n;game
dedust.io;dedustbot;DeDust.io, a leading decentralized exchange, is now part of the Telegram Web Application suite, offering a seamless integration into the blockchain world. This platform provides the convenience of DeFi trading within the familiar environment of Telegram. \n\n;WEB3 tools
egg fight club;egg_fight_demo_bot;Egg Fight Club is a captivating game, blending rock-paper-scissors mechanics with the excitement of winning 600 TON. It offers a unique gaming experience where the last egg standing wins it all. \n\n;game
hipo app;hipofinancebot;Hipo offers a straightforward way to stake TON and earn rewards. Starting with as little as 1 TON, it lets you participate in the world of staking with almost any budget.\n\n;tools
calendry;calendrybot;Calendry simplifies the process of organizing your day and booking meetings directly within your favorite messaging platform.;tools
water reminder;h2o_notity_bot;Discover Water Reminder, a valuable app, designed to help you maintain a healthy hydration routine. This bot is your personal assistant in achieving the right water balance for a healthier lifestyle. \n\n;tools
avia tips;aviatipsbot;Start your week embarking on a dream journey with AviaTipsBot. This app is designed to help you track flight ticket prices, ensuring you never miss out on the best deals. \n\n;tools
shareON;share_on_bot;ShareON presents an innovative experience on Telegram, redefining user interaction with content. It''s not merely a platform for reading and sharing, but also a portal to earning web3 rewards. \n\n;WEB3 tools
UTask;utaskbot;With UTasks you don''t need to switch to an external application, you can set tasks and appointments right inside your favorite messenger. \n\n;tools
stakee;stakeebot;Stakee combines simplicity and reliability with the promise of maximum earnings at minimal fees. This platform reimagines staking within the TON ecosystem for enhanced user experience. \n\n;WEB3 tools
spin the bottle;spinthe_bot;Discover Spin the Bottle, an engaging game that offers a unique approach to meeting and interacting with new people. This game brings the excitement of spinning the bottle into random chat rooms, creating opportunities to make friends and maybe even find love. \n\n;social
smartdeer;smartdeer_prod_bot;"Welcome to SmartDeer, an app designed to assist you in finding your ideal job. With SmartDeer, the journey to your next career opportunity is personalized and streamlined. \n\n
Enhance your experience by connecting your TON-wallet, unlocking additional features and opportunities provided by SmartDeer. Also the app provides you with daily job matches, sent directly to you in concise messages, introducing you to exciting earning possibilities. \n\n
";WEB3 tools
cointry;cointrybot;Meet Cointry, a convenient expense tracking chatbot, designed to simplify recording your daily spendings.\n\n;tools
geek track;geektrackbot;"Explore Geektrack, a versatile app designed for logging and analyzing your exercises, habits, spendings, and more. It''s your personal tool for self-improvement and lifestyle tracking. 
\n\n";tools
EVAA protocol app;evaaappbot;"ntroducing EVAA Protocol, the first lending protocol on TON Blockchain, now integrated within the Telegram ecosystem. This app offers a decentralized platform for easy lending and borrowing of tokens. \n\n
With EVAA, borrow tokens using others as collateral, benefiting from fair interest rates that adapt to market demand and supply. The platform ensures lender security with an automatic liquidation system for under-collateralized loans. \n\n";WEB3 tools
fanton;fantongamebot;The world of Telegram gaming lights up with an electrifying event! Fanton collaborates with ROoLZ for a special tournament, boasting a prize pool of 400 TON. Best part? It’s free to enter!\n\n;game
news bullet;newsbulletbot;NewsBullet is the most convenient crypto news feed bot on Telegram. Transform your group into a dynamic information hub, simplifying how you stay updated with the latest in cryptocurrency without the clutter of unnecessary information.\n\n;WEB3 tools
storm trade;StormTradeBot;Storm Trade, the first-ever leveraged trading platform on TON blockchain, is now accessible through Telegram via mini app. There you can trade various assets, including cryptocurrencies, commodities, and forex, making it a versatile option. \n\n;WEB3 tools
photo translator;phototranslator_bot;Introducing Photo Translator, a cutting-edge Telegram tool designed to make translating text from images a seamless experience. Simply send a photo containing text to the bot, and receive a message with a detailed translation in moments. \n\n;tools
whale detect;whaledetectbot;Whale Detect is a bot that offers automated detection of large cryptocurrency transactions across 18 popular coins: from Bitcoin and Ethereum to Chainlink, Uniswap, and of course TON. It provides a way to stay updated on significant market movements without manual effort. \n\n;WEB3 tools
bot write;botwritebot;"Botwrite is a comprehensive online toolkit designed to simplify the creation and management of Telegram bots. \n\n
After obtaining an API token from BotFather for your new bot, Botwrite becomes your central hub for bot development. It offers a wide array of functionalities to enhance your bot, allowing for the creation and editing of commands, menus, inline keyboards, forms, and quizzes. \n\n";tools
coin craddle;coincraddle_change_bot;Introducing CoinCraddle, a powerful tool from the popular limitless crypto exchange now available on Telegram. This bot streamlines the process of exchanging cryptocurrencies, ensuring quick and seamless transactions without any hassle. \n\n;WEB3 tools
towim;towimbot;"Towim, a distinctive dating and networking platform tailored for web specialists and enthusiasts. Towim offers a unique space for like-minded individuals to connect. \n\n
Create an engaging portfolio on Towim by showcasing your achievements, projects, and skills, along with links to your social media profiles. Navigate through incoming and outgoing requests and manage your whitelist, all within the app''s intuitive interface. \n\n";social
charge me;chargemycar_bot;Discover ChargeMe Bot, a great solution for electric vehicle drivers. Accessible directly through Telegram, this bot simplifies the process of locating the best charging options around you. \n\n;tools
click arbuz;wmclick_bot;ClickARBUZ is an engaging clicker game with a $1,000,000 prize pool in tokens, perfect for every Notcoin fan and web3 enthusiast. This bot extends beyond simple watermelon tapping, providing a richer competitive experience. \n\n;game
career craft;careercraft_bot;Welcome to CareerCraft, a groundbreaking service designed for performers and clients alike, transforming Telegram into a dynamic freelance exchange. This bot facilitates the creation and discovery of services or jobs, ensures safe transactions, and fosters collaboration among professionals. \n\n;tools
callegram;callegrambot;Callegram is a Telegram-native bot designed to make call scheduling a breeze. Choose the days you''re available, from Monday to Sunday, and select your convenient time intervals: Early, Default, or Late. Once set, this schedule can be shared with anyone, enabling them to coordinate calls based on your convenience. \n\n;tools
screensuggest;screensuggest_bot;Discovering your next film or series is seamless with ScreenSuggest, your AI assistant for evening entertainment. It provides tailored recommendations that align with the unique preferences of each user. \n\n;tools
chess;chesscontestbot;Chess is now ready to elevate your Telegram chats with the timeless strategy of chess. Whether seeking a friendly match or a duel to settle scores with your old enemy, this bot transforms your chat into a battleground of wits. \n\n;game
wanderlust;wander_lustbot;"Wanderlust is a personalized travel oracle within Telegram, offering a gateway to uncover new destinations and experiences. \n\n
With Wanderlust, exploring is effortless and intuitive. Share a destination name and bot will unveil a selection of captivating sights for you to venture. Historical landmarks, cultural museums, gastronomic delights, and outdoor escapades — all these and more are accessible through Wanderlust''s insightful suggestions. \n\n";tools
animoji;animoji_bot;Discover the Animoji Center on Telegram, where a colorful array of stickers and animojis await to brighten your conversations. With this feature, finding the perfect expressive image is effortless and enjoyable. \n\n;tools
fast food memes;ffmemesbot;Fast Food Memes delivers a collection of nearly 19,000 beloved memes from around the globe directly to your screen. Starting your humor journey is as simple as pressing the /start button, and then the laughs keep rolling in. \n\n;tools
uno;uno9bot;UNO offers a world of fun and competition. You can connect with friends or face off against random players from around the globe. It''s all about skill, strategy, and a bit of luck. When setting up a game, you have the option to choose the size of the bet using special game points, or you can opt for a free match. \n\n;game
wordtle;wordtlebot;WordTLe brings the challenge and fun of the world-renowned Wordle game right into your Telegram. It offers a brain-teasing experience, giving you six chances to guess a five-letter word.\n\n;game
friends factory;fabrika;Discover the engaging world of Friends Factory, a Telegram game combining strategic management with playful competition. Your mission? To rise in the ranks by maximizing profits through clever management of your virtual workforce. \n\n;game
paintbot;paintbot;Paint Bot provides an intuitive drawing interface, making it simple to express your creativity in vibrant ways. Whether you''re doodling alone or creating collaborative masterpieces with friends, Paint Bot is your canvas for all things creative. \n\n;tools
daily digest;daydigestbot;Introducing Daily Digest, a tool designed to keep you in the loop with your Telegram group chats, even when you''re short on time. Perfect for those who juggle multiple groups, from friends'' chats to residential complex discussions, this bot ensures you never miss out on the key conversations. \n\n;tools
instaquiz;quizzbot;InstaQuiz transforms Telegram into a dynamic trivia battleground. It allows users to engage in exciting real-time quiz battles with friends, testing their knowledge across various categories, from Animals to Entertainment, Movies, and Video Games. \n\n;game
jigsaw;jigsawpuzzlebot;Discover Jigsaw, a delightful addition to the newly introduced #contest category in Apps Center. With Jigsaw, you can transform any picture into a puzzle and solve it with friends, all within the convenience of your favorite messaging app. \n\n;game
movie matcher;movie_matcher_bot;"Explore a world of cinematic possibilities with Movie Matcher, a gem from the #contest category in Apps Center. Whether you''re planning a group watch or seeking a solo cinematic adventure, this app has you covered. \n\n
Movie Matcher lets you choose from a diverse range of genres, including Comedy, Drama, Western, and Science Fiction, along with selections from different eras, from the 1910s to the 2020s. Then it provides a selection of top movie picks for you to swipe through, helping you find films that resonate with your taste. \n\n";tools
naval clash;naval_clash_bot;Naval Clash offers flexible gameplay options: you can either challenge a friend or face a random opponent. Starting a game is hassle-free. The bot provides a link for playing with a friend, which you can share with your chosen rival. Once they click the link and join, the strategic battle commences. \n\n;game
friends on map;friendsbot;With Friends On Map, you can easily share your location with friends by sending a special link to any chat or channel. Each chat generates a unique map using Mapbox technology, allowing you to follow people and add them to your personal map, which is accessible directly in your chat with the bot. \n\n;social
notepher;notepherbot;Discover Notepher, the intuitive Telegram Mini App, revolutionizing note-taking within your favorite messenger. This bot is all about bringing simplicity and efficiency, making it easy to capture ideas and organize tasks.\n\n;tools
textgears;textgearsbot;With this bot, spotting and correcting errors becomes effortless. Simply paste your text into the special field, and watch as TextGears highlights mistakes, offering correct word suggestions. Features like easy text clearing, copying, or rechecking are integrated for a smooth editing process. \n\n;tools
secret santa party;santapartybot;"Celebrate the holiday season with Secret Santa Party. This bot transforms your festive gift exchanges into a seamless digital experience. \n\n
Start by creating a party, set a specific budget for gifts, and share the party link with friends and family to join in the fun. Participants can fill out their wish lists within the party, ensuring everyone knows what to gift. With just a simple button press, Secret Santas are randomly assigned among the group, adding an element of surprise. \n\n";social
notelly;notelly_bot;Introducing Notelly, a simple yet powerful note-taking bot designed to capture your essential thoughts, manage daily tasks, or keep your shopping and to-do lists organized, all within Telegram \n\n;tools
mini chess;minichessbot;Elevate your Telegram experience with MiniChessBot. Whether you''re looking to outmaneuver friends or simply enjoy a game of strategy, this bot offers the classic chess experience for everyone. \n\n;game
convene;convenebot;Meet Convene, a bot designed to simplify event planning within your favorite messaging app. Whether organizing a casual get-together or coordinating a formal meeting, Convene makes it effortless. \n\n;tools
pomodoro;pomodorrro_bot;Discover the Pomodoro, a classic timer designed to enhance your concentration and productivity right within Telegram. If you''re seeking a simple and effective way to stay focused, this bot is your ideal companion. \n\n;tools
breath of calm;bcalm_bot;Discover Breath of Calm, a Telegram app offering a peaceful journey into rhythmic breathing and mindfulness. Its straightforward interface invites immediate use, ideal for moments needing calm and focus. \n\n;tools
iCrypto;icryptoaibot;Welcome to iCrypto, the pioneering AI bot, designed to be your personal on-chain guru. This app is a treasure trove of insights for anyone looking to navigate the dynamic world of cryptocurrency. \n\n;WEB3 tools
tap fantasy;tapfantasygamebot;Tap Fantasy, the thrilling MMORPG that has recently gone live on the TON blockchain, offers an immersive experience that perfectly blends adventure and earnings. With its own economic model, this game invites you to an epic journey in a mystical world. \n\n;game
bitget;bitgetofficialbot;Welcome to Bitget, the latest Telegram Web App, hailing from one of the largest crypto copy trading platforms. This bot is a significant addition to the web3 ecosystem, offering all Telegram users the chance to complete tasks, earn points, and swap them for rewards.;WEB3 tools
AI Astrologer;ai_astrologer_bot;Delve into the cosmos with AI Astrologer, a unique Telegram bot that blends astrology and artificial intelligence to provide personalized insights. It''s the perfect companion for those curious about how their birth date might align with their destiny. \n\n;tools
synchronist translator;syncronist_bot;Introducing Synchronist Translator, a revolutionary app that offers instant translation of text and voice messages. Designed to make communication seamless across languages, this bot is a must-have for anyone looking to bridge language gaps.\n\n;tools
link fork;linkforkbot;Discover LinkFork, an innovative mini-app designed to streamline your social media experience. It''s the perfect tool for managing and sharing links to your various social network profiles, all within the comfort of Telegram. \n\n;tools
gatto;gatto_gamebot;"Gatto, a captivating Play-to-Earn game that combines the joy of raising virtual pets with the thrill of competition, all while earning TON.\n\n
In Gatto, you can expand your personal 8x8 district with different biome cells, which opens the door to raising new pets from eggs of varying rarities. Enhance their skills and happiness level through care and training. Purchase outfits and power-ups from the Shop to boost your pets'' abilities and customize their appearance. \n\n";game
teleminal;teleminalbot;Meet Teleminal, a sleek and efficient terminal tool, designed to manage servers via SSH connections effortlessly. This bot combines the convenience of Telegram mini-app UI with the functionality of Secure Shell protocols, providing everything you need in that field.\n\n;tools
accurate horoscope;accurate_horoscope_bot;Accurate Horoscope brings the universe''s wisdom to your Telegram, offering personalized astrological forecasts every morning. It lets you start your day aligned with the stars, providing insights into various aspects of life. \n\n;tools
my links;tonlinksbot;Introducing My Links, the ultimate social networking hub, designed to centralize all your social media profiles and links in one convenient location. My Links is the starting point of the Telegram for Business ecosystem, enhancing your online interaction and audience engagement. \n\n;tools
fit journal;fitjournal_bot;Fit Journal, a Telegram app dedicated to keeping a comprehensive workout log right within your favorite messaging platform.\n\n;tools
gmail bot;gmailbot;Gmail Bot transforms Telegram into a functional email client, allowing you to manage your inbox and send replies without switching apps. With this bot, checking, composing, and responding to emails becomes as easy as sending a Telegram message.\n\n;tools
dr web;drwebbot;Dr.Web, a bot designed to provide comprehensive malware checks just within Telegram. Users can send files up to 20MB directly or forward suspicious content from other chats. When added to groups, it actively monitors and scans all shared links and files, alerting you to any potential threats.\n\n;tools
quiz bot;quizbot;Quiz Bot turns any Telegram chat into a dynamic trivia session, allowing you to challenge friends and family with custom quizzes. With its user-friendly interface, creating multiple-choice quizzes becomes a breeze. Enhance your questions with additional media or text and even impose time limits for added challenge. \n\n;game
2048;playgame2048bot;Unwind with the captivating game of 2048, a simple yet addictive puzzle that has charmed millions. Slide tiles across the board to combine them, aiming to reach the elusive 2048 tile. But beware, the game is trickier than it appears, with the potential to box yourself into a corner with just a few misplaced moves.\n\n;game
avatarify;avatarify_bot;Avatarify transforms any photo into a dynamic song video. This bot allows you to easily bring portraits to life: simply send a photo with a visible face, choose a song, and watch as the person in the photo singing your selected tune.\n\n;tools
STON.fi dex;ston_fi;STON.fi, a popular decentralized exchange on TON with minimal fees and a vibrant community, is now accessible through the mini-app. As Telegram becomes the primary DeFi messenger, STON.fi aims to enhance its functionality and accessibility, offering all the features of its DEX directly in your messenger\n\n;WEB3 tools
pomidorka;pmdrkbot;Meet Pomidorka, a timer in a mini-app format designed to boost your focus and productivity. For those in search of a straightforward yet effective method to improve your effectiveness, this bot stands out as an ideal tool.\n\n;tools
game factory bot;gamefactorybot;GameFactoryBot, your gateway to engaging online chess matches. This bot allows you to create and share chess games, turning your favorite messaging app into a battle of wits and strategy.\n\n;game
play wallet;playwalletbot;Play Wallet, the convenient mini-app for purchasing digital services and top-ups for Steam, is rolling out significant improvements after we introduced it a few months back.\n\n;WEB3 tools
bemo;bemo_finance_bot;bemo, the pioneering liquid staking platform on TON blockchain, is now accessible directly through Telegram. Stake TON effortlessly and receive stTON to freely use in DeFi, offering an exclusive chance to earn 25% APY and receive $BMO tokens during the upcoming airdrop.\n\n;WEB3 tools
TON stakers;tonstakers_bot;"Tonstakers revolutionizes the way you engage with TON Blockchain, offering a liquid staking solution directly within Telegram. \n\n
This mini-app transforms the staking landscape by allowing you to earn attractive APY rewards while ensuring your assets remain always accessible. Simply deposit Toncoin to receive tsTON tokens, which represent your staked amount plus rewards, yet remain liquid for use in DeFi.\n\n";WEB3 tools
guardify AI;guardifybot;Guardify is the AI-powered bot designed to revolutionize crypto community management. As a vital tool for ensuring a safe and thriving environment, Guardify AI combines advanced features to safeguard and enhance group interactions.\n\n;WEB3 tools
the queue;thequeue_bot;The Queue, a unique game where patience and perseverance is all you need to win a valuable prize. Simply link your TON wallet and aim to be the last person standing in the queue.\n\n;game
nimbus bot;getnimbusbot;Nimbus Bot designed to simplify managing your crypto assets. With support for over 60 chains and centralized exchanges, this tool brings all your investment information into one accessible place, offering a tailored analysis and personalized portfolio overview\n\n;WEB3 tools
eltsy;eltsy_bot;"It''s been a long time since we''ve had new bots for learning languages, so today we introduce Eltsy, an AI helper designed to assist with IELTS exam preparation. This bot offers personalized assistance to elevate your IELTS scores through simulated tests, response analyses, and tailored tips. \n\n
Eltsy provides a comprehensive suite of opportunities for exam takers. You can practice academic writing, engage in academic speaking exercises through voice messages, and receive detailed feedback pinpointing your mistakes.\n\n";tools
telegram moments;tgmoments_bot;Introducing Telegram Moments, a simple yet exciting bot that brings the power of TON Blockchain to your messenger. This bot offers a unique service: minting and verifying Telegram posts and messages as NFTs.\n\n;WEB3 tools
lucky draw master;luckydrawmasterbot;Lucky Draw Master is the viral marketing tool, designed to boost the popularity of channels and groups. This innovative bot allows you to host engaging draw events, attracting a wide audience and sparking rapid growth.\n\n;tools
meet;meet_met_bot;Discover Meet, the modern dating app seamlessly integrated into Telegram, designed to connect users with new friends and potential partners without ever needing to leave the messenger. Meet stands out by providing a secure and advanced platform for finding companionship and romance globally.\n\n;social
the pixels;the_pixels_bot;The Pixels, a social multiplayer game in a famous Pixel Battle format right inside Telegram. Join forces with your squad, conquer the canvas, and earn $PXL coins by painting your masterpiece.\n\n;game
TonUp launchpad;tonup_launchpad_bot;"TonUP is one of the leading TON launch platforms, aimed at discovering and developing innovative crypto projects. \n\n
With the support of renowned partners such as TON Foundation and TONcoin.Fund, the platform ensures reliable backing for projects, which undergo a rigorous selection process based on several important criteria.\n\n";WEB3 tools
ton raffles;tonraffle_bot;Ton Raffles Bot is the place where you can keep up with the latest news from the launchpad, engage in unique activities, and win WL, discounts, or NFTs. $RAFF is the utility token of the Ton Raffles ecosystem that offers 327% Annual Percentage Rate (APR) for every liquidity provider in the RAFF/TON pair on STON.fi exchange\n\n;WEB3 tools
briefly;brieflyshort_bot;Briefly, a bot designed to make your information consumption as efficient as possible. Whether it''s URLs, PDF documents, posts, messages, or even YouTube videos, Briefly provides concise summaries to help you grasp the essentials quickly.\n\n;tools
battles;fanzeebattlesbot;"Fanzee Battles mini-app for creating debates and its token $FNZ, which users receive for winning battles and completing daily quests. \n\n
Fanzee Battles allows you to join debates right in Telegram and create them on your own, competing with friends or other app users. You just need to choose a topic from the list, ranging from the crypto sphere to politics and pop culture, and fill in the information about the battle itself. The platform has a level system — «belts». The higher your level, the more opportunities become available\n\n";game
punk city;punkcity2094bot;Continuing to play and earn within The Open League, now featuring Punk City — a PvP project in a futuristic style, where participants must face off against each other in rock-paper-scissors format battles, choosing from one of three duel types: friendly, with bets in $TON, or in $PUNK.\n\n;game
instant form;instantformsbot;Instant Form, a mini-app for collecting feedback on Telegram, has just launched its Pro version, marking its most significant update yet. This new subscription tier brings a suite of powerful features aimed at enhancing your form creation and management capabilities.\n\n;tools